                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3056,                 3.9858,                 4.2503,                0.00248,                0.33542,                0.00256,                0.00089,                 2.8639,                 4.0585,                 4.1557,                0.00034,                0.00034,                0.00034
                      1,                 3.3652,                 3.7269,                 4.0918,                0.00237,                0.34167,                0.00209,                0.00079,                 2.8638,                 4.0276,                 4.1554,             0.00068845,             0.00068845,             0.00068845
                      2,                 3.1485,                 3.3425,                 3.8131,                0.00232,                0.32917,                 0.0023,                0.00083,                 2.8735,                 3.9432,                 4.2643,               0.001025,               0.001025,               0.001025
                      3,                 3.1642,                 3.1374,                 3.5721,                0.00237,                0.31875,                0.00223,                0.00076,                 2.9235,                 3.9787,                 4.3998,              0.0013497,              0.0013497,              0.0013497
                      4,                 2.8996,                 3.1354,                 3.4451,                0.00259,                0.35833,                0.00475,                0.00163,                 2.9405,                 3.8929,                 3.8436,              0.0016625,              0.0016625,              0.0016625
                      5,                 2.7894,                 2.9574,                 3.3165,                0.00213,                0.10833,                0.00165,                 0.0005,                 2.9081,                 4.1757,                 4.7373,               0.001835,               0.001835,               0.001835
                      6,                 2.7685,                 3.0005,                 3.2717,                0.02379,                0.00417,                0.00477,                 0.0016,                  2.901,                 3.8413,                 3.8293,               0.001835,               0.001835,               0.001835
                      7,                 2.7509,                  2.922,                 3.2517,                0.13938,                0.16875,                0.05932,                0.01822,                 2.5586,                 3.6768,                 3.2263,               0.001802,               0.001802,               0.001802
                      8,                 2.7793,                 2.8351,                 3.1587,                0.09502,                0.13542,                0.03685,                0.01043,                 2.5723,                 4.0465,                 3.5341,               0.001769,               0.001769,               0.001769
                      9,                 2.7045,                 2.7702,                 3.0934,                0.20987,                0.20417,                0.09819,                 0.0313,                 2.6276,                 3.2576,                 3.2471,               0.001736,               0.001736,               0.001736
                     10,                 2.6541,                 2.7177,                 3.0261,                0.23366,                0.21667,                0.13384,                0.04191,                 2.3984,                 2.8015,                 2.8944,               0.001703,               0.001703,               0.001703
                     11,                 2.6362,                   2.68,                 2.9878,                0.01745,                0.21458,                0.00832,                0.00256,                 2.7557,                 7.0242,                 8.8585,                0.00167,                0.00167,                0.00167
                     12,                 2.6218,                 2.6454,                 3.0307,                 0.1266,                0.12743,                0.05168,                0.01745,                 2.3541,                 3.4033,                 3.5323,               0.001637,               0.001637,               0.001637
                     13,                 2.5762,                 2.6337,                 2.9379,                0.22304,                0.23542,                0.12794,                0.04568,                 2.3075,                 3.3849,                 2.7543,               0.001604,               0.001604,               0.001604
                     14,                 2.5275,                 2.6015,                 2.9148,                0.31654,                  0.225,                0.17259,                0.05544,                 2.3538,                 4.5416,                 2.9528,               0.001571,               0.001571,               0.001571
                     15,                 2.4774,                  2.524,                 2.8668,                0.27079,                    0.2,                0.16235,                0.05446,                 2.2568,                 2.6685,                 2.7777,               0.001538,               0.001538,               0.001538
                     16,                  2.462,                 2.4721,                 2.8302,                0.31968,                0.31718,                0.19543,                0.05636,                 2.3314,                 2.6349,                 2.7851,               0.001505,               0.001505,               0.001505
                     17,                 2.4862,                 2.5026,                 2.8427,                0.19846,                  0.225,                0.14237,                0.04393,                 2.3117,                 2.8032,                 2.7736,               0.001472,               0.001472,               0.001472
                     18,                 2.4322,                   2.47,                 2.7973,                0.32432,                  0.306,                0.21361,                0.07436,                 2.2375,                 2.6355,                 2.7145,               0.001439,               0.001439,               0.001439
                     19,                 2.4825,                 2.4854,                 2.8274,                0.27273,                0.23125,                0.17079,                0.05733,                 2.2703,                 3.3456,                 2.7507,               0.001406,               0.001406,               0.001406
                     20,                 2.3794,                 2.3923,                 2.7902,                0.30205,                0.31667,                0.18344,                0.06164,                 2.2509,                 2.7399,                 2.7328,               0.001373,               0.001373,               0.001373
                     21,                 2.3173,                 2.3344,                  2.733,                0.35279,                0.30625,                0.24248,                0.08919,                  2.176,                 2.3676,                 2.6456,                0.00134,                0.00134,                0.00134
                     22,                 2.3586,                 2.3722,                 2.7496,                0.30139,                0.29167,                0.23542,                0.08077,                 2.1962,                 2.4395,                 2.6444,               0.001307,               0.001307,               0.001307
                     23,                 2.4289,                 2.2826,                  2.712,                0.31092,                0.16875,                0.14868,                0.04719,                 2.3593,                 3.0353,                 2.7327,               0.001274,               0.001274,               0.001274
                     24,                 2.3116,                 2.2689,                 2.7028,                 0.3515,                0.38732,                0.27486,                0.09916,                 2.1265,                 2.3062,                 2.5626,               0.001241,               0.001241,               0.001241
                     25,                 2.4069,                 2.3616,                 2.7191,                0.38051,                0.37292,                0.28477,                 0.1067,                 2.1792,                  2.478,                  2.613,               0.001208,               0.001208,               0.001208
                     26,                 2.2861,                 2.2577,                 2.6495,                0.31444,                0.30208,                 0.2043,                 0.0697,                 2.2125,                 2.5115,                 2.6425,               0.001175,               0.001175,               0.001175
                     27,                 2.3286,                 2.3375,                 2.6514,                0.49148,                   0.35,                0.34627,                0.12772,                 2.1275,                  2.262,                 2.5754,               0.001142,               0.001142,               0.001142
                     28,                 2.2365,                 2.2181,                 2.6468,                0.41229,                0.29167,                0.25761,                  0.102,                 2.1978,                 2.3117,                 2.6775,               0.001109,               0.001109,               0.001109
                     29,                 2.2931,                   2.21,                 2.6428,                0.38213,                0.23542,                0.21428,                 0.0758,                  2.221,                 2.5081,                 2.7018,               0.001076,               0.001076,               0.001076
                     30,                 2.2997,                 2.1841,                  2.644,                0.47122,                0.34346,                0.33156,                 0.1269,                 2.1638,                 2.1898,                 2.5684,               0.001043,               0.001043,               0.001043
                     31,                 2.1864,                 2.1733,                 2.5894,                0.44545,                0.35645,                0.33065,                0.12741,                 2.0829,                 2.2448,                  2.545,                0.00101,                0.00101,                0.00101
                     32,                 2.2486,                 2.2214,                 2.5792,                0.43626,                   0.35,                0.31813,                0.12591,                 2.0336,                 2.1506,                 2.5091,               0.000977,               0.000977,               0.000977
                     33,                 2.2086,                 2.1654,                 2.5674,                0.53156,                  0.375,                0.39419,                0.15269,                 2.0791,                 2.0839,                  2.538,               0.000944,               0.000944,               0.000944
                     34,                 2.2151,                 2.1637,                  2.621,                0.48069,                0.37917,                0.35055,                0.14055,                  2.042,                  2.122,                 2.5172,               0.000911,               0.000911,               0.000911
                     35,                 2.1584,                 2.1008,                 2.5796,                0.45974,                0.28958,                0.32368,                0.14037,                 2.0602,                 2.1397,                 2.5453,               0.000878,               0.000878,               0.000878
                     36,                 2.2471,                 2.1303,                 2.6064,                0.57492,                0.38542,                0.42308,                0.17381,                 2.0317,                 2.0667,                 2.5062,               0.000845,               0.000845,               0.000845
                     37,                  2.142,                 2.0683,                 2.5058,                0.51073,                0.42189,                0.39346,                0.16269,                 2.0328,                 2.0665,                 2.4688,               0.000812,               0.000812,               0.000812
                     38,                 2.1401,                  2.081,                 2.4738,                0.42732,                0.38958,                0.32478,                0.13235,                  2.077,                 2.1512,                 2.4508,               0.000779,               0.000779,               0.000779
                     39,                 2.1374,                 2.0626,                 2.5044,                0.56184,                0.40417,                0.43107,                0.18082,                  2.008,                 2.0944,                 2.4123,               0.000746,               0.000746,               0.000746
                     40,                 2.1155,                 2.0288,                 2.4959,                0.50788,                0.44375,                0.42639,                0.18756,                 1.9909,                 1.9086,                 2.4028,               0.000713,               0.000713,               0.000713
                     41,                 2.1646,                 2.0336,                 2.5052,                0.52929,                0.41698,                0.41243,                 0.1715,                 1.9818,                 1.9286,                 2.4177,                0.00068,                0.00068,                0.00068
                     42,                 2.0763,                 2.0133,                 2.4863,                0.57216,                0.38958,                0.39109,                0.17093,                 1.9618,                 2.0013,                 2.4279,               0.000647,               0.000647,               0.000647
                     43,                 2.0309,                 1.9331,                  2.469,                0.57824,                0.41987,                0.47754,                 0.2026,                 1.9803,                 1.8595,                 2.4165,               0.000614,               0.000614,               0.000614
                     44,                 2.0971,                 1.9598,                 2.4748,                0.60038,                 0.4375,                0.46521,                0.20092,                 1.9775,                 1.8302,                 2.4199,               0.000581,               0.000581,               0.000581
                     45,                 2.0406,                 1.9135,                 2.4399,                0.52713,                0.35997,                0.39477,                0.17306,                 1.9896,                  1.987,                 2.4406,               0.000548,               0.000548,               0.000548
                     46,                  2.134,                 2.0457,                 2.4735,                0.56146,                0.41667,                0.42229,                0.17823,                 1.9883,                 1.9675,                 2.4393,               0.000515,               0.000515,               0.000515
                     47,                 2.0863,                 1.9104,                 2.4751,                0.65248,                 0.4733,                0.51149,                0.22647,                 1.9161,                 1.7922,                 2.3772,               0.000482,               0.000482,               0.000482
                     48,                 2.0744,                 1.9002,                 2.4919,                0.64387,                0.45952,                0.50551,                0.22447,                 1.9322,                 1.7481,                 2.3871,               0.000449,               0.000449,               0.000449
                     49,                 2.0668,                 1.9372,                 2.4463,                0.64663,                0.42708,                0.48182,                0.21996,                 1.9373,                 1.8286,                 2.3682,               0.000416,               0.000416,               0.000416
                     50,                 1.9827,                 2.0248,                 2.4396,                0.65324,                0.42917,                0.48994,                0.22154,                 1.9094,                 1.8539,                 2.3204,               0.000383,               0.000383,               0.000383
                     51,                 1.9856,                 1.8715,                 2.3963,                0.63316,                0.48333,                0.50744,                0.23052,                 1.9104,                 1.7644,                  2.345,                0.00035,                0.00035,                0.00035
                     52,                 1.9562,                 1.8406,                 2.3893,                0.66966,                0.45625,                0.49038,                0.22921,                  1.915,                 1.7488,                 2.3367,               0.000317,               0.000317,               0.000317
                     53,                 1.9573,                 1.8414,                 2.3721,                0.64171,                0.43657,                0.48415,                0.21425,                 1.9287,                 1.7951,                  2.358,               0.000284,               0.000284,               0.000284
                     54,                 1.9693,                  1.761,                 2.3606,                0.68594,                0.46412,                0.52042,                0.23605,                 1.9164,                  1.669,                 2.3277,               0.000251,               0.000251,               0.000251
                     55,                 1.9147,                  1.732,                 2.3143,                0.67136,                0.45112,                0.52736,                0.25411,                 1.8655,                  1.656,                 2.2721,               0.000218,               0.000218,               0.000218
                     56,                 1.9469,                 1.7214,                 2.3214,                0.69645,                0.47799,                0.54208,                0.25833,                 1.8712,                 1.6279,                 2.2805,               0.000185,               0.000185,               0.000185
                     57,                  1.929,                 1.7132,                 2.3482,                0.69655,                  0.483,                0.54693,                0.26056,                 1.8598,                 1.6141,                 2.2758,               0.000152,               0.000152,               0.000152
                     58,                 1.9132,                 1.7788,                  2.336,                0.69535,                0.47708,                0.53961,                0.25934,                 1.8486,                 1.6226,                 2.2703,               0.000119,               0.000119,               0.000119
                     59,                 1.9103,                 1.6626,                 2.2953,                0.71963,                0.48125,                0.54996,                0.26643,                 1.8376,                 1.6103,                 2.2592,                8.6e-05,                8.6e-05,                8.6e-05
